出发机场,到达机场,航班编号,飞机编号,计划飞行时间,计划起飞时刻,航班月份,计划到达时刻,前序延误,起飞间隔,到达特情,出发特情,出发天气,出发气温,到达天气,到达气温,航空公司,航班性质,飞机延误目标
393,149,16869,1438,1.9166666,3,5,5,0.45842848,4.520488547,0,0,97,0,25,0,73,1,1
423,434,27063,124857,1.9166666,3,10,5,0.45842848,4.520488547,0,0,87,0,16,0,164,1,0
1,230,11629,116794,0.6666667,9,9,9,0.45842848,4.520488547,0,0,82,0,64,0,57,0,0
320,261,3946,705,3.4166667,8,5,11,0.45842848,4.520488547,0,0,64,0,97,0,32,1,1
115,323,14414,1092,1.4166666,14,5,15,0.45842848,4.520488547,0,0,124,0,16,0,66,1,1
27,230,11578,132505,0.6666667,10,11,11,0.45842848,4.520488547,0,0,24,0,82,0,57,0,0
299,385,19554,6434,1.8333334,2,5,4,0.45842848,4.520488547,0,0,64,0,16,0,99,1,1
70,78,20628,108747,2,22,7,0,0.45842848,4.520488547,0,0,16,0,35,0,99,0,0
1,230,11577,122723,0.6666667,6,9,6,0.45842848,4.520488547,0,0,16,0,20,0,57,0,0
240,48,13327,109227,2.75,3,7,6,0.45842848,4.520488547,0,0,64,0,117,0,60,0,0
383,163,17051,1050,2,9,5,11,0.45842848,4.520488547,0,0,64,0,16,0,73,1,1
226,74,11624,122113,1.3333334,12,9,13,0.45842848,4.520488547,0,0,16,0,43,0,57,0,0
1,230,11690,132473,0.6666667,8,11,9,0.45842848,4.520488547,0,0,16,0,82,0,57,0,0
242,416,1251,2869,2.0833333,0,5,2,0.45842848,4.520488547,0,0,70,0,62,0,6,1,1
302,139,12770,92,1,4,5,5,0.45842848,4.520488547,0,0,25,0,16,0,60,0,1
56,48,8944,10878,4.3333335,7,6,11,0.45842848,4.520488547,1,0,119,0,119,0,37,1,1
126,418,19777,15287,1.1666666,1,6,2,0.45842848,4.520488547,0,0,42,0,42,0,99,1,0
393,149,824,3282,2.25,13,5,15,0.45842848,4.520488547,0,0,62,0,62,0,1,1,1
27,230,11580,130427,0.5,13,10,13,0.45842848,4.520488547,0,0,87,0,20,0,57,0,0
414,139,12936,85568,2.0833333,16,2,18,0.45842848,4.520488547,0,0,85,0,25,0,60,0,0
414,293,6846,3376,1.25,2,5,3,0.45842848,4.520488547,0,0,16,0,64,0,37,1,1
210,388,15962,4691,1.5833334,3,5,4,0.45842848,4.520488547,0,0,62,0,3,0,67,1,1
160,20,22081,9331,2.25,10,6,12,0.45842848,4.520488547,0,0,62,0,87,0,99,1,1
373,431,24646,7262,1.9166666,12,5,14,0.45842848,4.520488547,0,0,16,0,22,0,128,1,1
56,48,8944,8887,4.3333335,7,6,11,0.45842848,4.520488547,0,0,3,0,97,0,37,1,1
217,256,735,8267,4.0833335,23,5,4,0.45842848,4.520488547,0,0,22,0,16,0,1,1,1
370,315,27190,6877,3.1666667,8,5,11,0.45842848,4.520488547,0,0,125,0,62,0,164,1,1
397,428,2373,128774,1.1666666,6,10,7,0.45842848,4.520488547,0,0,1,0,21,0,20,1,0
380,63,11658,133004,1.5,5,11,6,0.45842848,4.520488547,1,0,16,0,43,0,57,0,0
226,55,11663,119587,2.0833333,5,9,7,0.45842848,4.520488547,0,0,16,0,16,0,57,0,0
1,230,11622,121716,0.6666667,3,9,4,0.45842848,4.520488547,0,0,82,0,16,0,57,0,0
397,7,25850,5083,1.3333334,13,5,14,0.45842848,4.520488547,0,0,22,0,62,0,145,1,1
303,74,7890,14042,1.75,16,6,18,0.45842848,4.520488547,0,0,16,0,25,0,37,0,0
254,149,25612,5454,5.4166665,2,5,8,0.45842848,4.520488547,0,0,85,0,62,0,140,1,0
146,363,6062,9499,2.25,23,6,2,0.45842848,4.520488547,0,0,99,0,16,0,37,1,1
332,28,14522,1025,2.9166667,7,5,9,0.45842848,4.520488547,0,0,16,0,16,0,66,1,0
27,74,11708,102598,0.9166667,7,5,8,0.45842848,4.520488547,0,0,16,0,16,0,57,1,0
27,230,11842,128128,0.5,12,10,13,0.45842848,4.520488547,0,0,82,0,50,0,57,0,0
1,230,11625,119398,0.6666667,9,9,9,0.45842848,4.520488547,0,0,82,0,102,0,57,0,0
144,149,12851,8385,3.6666667,4,6,8,0.45842848,4.520488547,0,0,62,0,25,0,60,1,1
340,286,17471,26389,2,13,8,15,0.45842848,4.520488547,0,0,0,0,24,0,83,1,0
70,450,19687,4369,2.25,23,5,1,0.45842848,4.520488547,0,0,25,0,30,0,99,1,1
62,118,18877,81120,1.0833334,1,1,2,0.45842848,4.520488547,0,0,16,0,22,0,91,0,0
332,183,4079,8525,2.9166667,10,6,13,0.45842848,4.520488547,0,0,70,0,16,0,32,1,1
62,323,9306,5160,2.3333333,0,5,2,0.45842848,4.520488547,0,0,16,0,16,0,37,1,1
289,59,17442,6367,1.1666666,22,5,0,0.45842848,4.520488547,0,0,82,0,28,0,83,1,1
222,388,13261,3546,0.8333333,15,5,16,0.45842848,4.520488547,0,0,24,0,22,0,60,1,0
1,230,11631,117085,0.6666667,9,9,9,0.45842848,4.520488547,0,0,82,0,24,0,57,0,0
417,242,26709,1689,4.3333335,5,5,9,0.45842848,4.520488547,0,0,85,0,64,0,164,1,1
246,222,17861,1183,0.6666667,2,5,2,0.45842848,4.520488547,0,0,22,0,62,0,85,1,1
226,74,11624,127259,1.3333334,12,10,13,0.45842848,4.520488547,0,0,87,0,42,0,57,0,0
422,113,12747,532,0.6666667,3,5,4,0.45842848,4.520488547,0,0,62,0,0,0,60,1,1
423,418,565,8695,1.3333334,23,6,1,0.45842848,4.520488547,0,0,49,0,42,0,1,1,1
226,24,11708,105458,0.6666667,5,6,6,0.45842848,4.520488547,0,0,120,0,9,0,57,1,0
188,222,17794,36953,1.0833334,15,9,16,0.45842848,4.520488547,0,0,95,0,42,0,85,1,0
332,417,14407,4598,2,23,5,1,0.45842848,4.520488547,0,0,25,0,82,0,66,1,1
299,48,6311,229,2.1666667,11,5,13,0.45842848,4.520488547,0,0,20,0,28,0,37,1,1
1,230,11587,128403,0.6666667,6,10,6,0.45842848,4.520488547,0,0,16,0,16,0,57,0,0
226,222,11842,129334,1.25,14,10,15,0.45842848,4.520488547,0,0,85,0,95,0,57,0,0
212,363,6523,4527,1.75,9,5,11,0.45842848,4.520488547,1,0,25,0,95,0,37,1,1
1,230,11632,123565,0.6666667,3,9,4,0.45842848,4.520488547,0,0,82,0,82,0,57,0,0
226,163,7541,8265,6.25,23,5,6,0.45842848,4.520488547,0,0,95,0,119,0,37,1,1
35,146,2468,85601,2.1666667,23,2,1,0.45842848,4.520488547,0,0,0,0,0,0,22,2,0
55,388,13332,97722,4.4166665,19,5,23,0.45842848,4.520488547,0,0,16,0,20,0,60,0,0
